tsne1,tsne2
-11.35167,-10.510107
-81.27962,-16.371517
-23.68543,51.420887
-65.75658,30.787354
1.0522839,32.26752
-66.432076,-50.13974
48.90806,-28.51132
70.522675,-9.601717
0.5863028,-11.009356
-77.20677,2.676308
24.850477,-61.245964
-66.28997,-56.241325
-8.134555,68.67462
-52.56513,-26.942324
-36.165104,-111.319725
52.692303,3.966545
-13.407776,-115.792694
-31.870094,-51.485924
-19.10686,50.984962
18.237158,-33.801388
-4.235557,106.8872
61.464077,-37.200657
-67.249435,29.83094
-26.365993,87.17472
17.369701,72.19998
-59.389446,-54.93121
-57.199757,70.865234
-92.41876,-52.26735
23.933598,23.186544
-32.489063,2.1097617
64.72958,8.067629
-29.953999,-22.71337
-75.65363,40.517887
-38.604153,-32.044136
-3.1524446,-82.529945
45.914734,17.86622
9.297733,23.514858
-58.23667,-40.51186
7.971126,-35.103134
55.20195,-38.472935
113.26092,12.202637
-87.77034,47.89637
106.5848,-38.446587
5.114044,51.610058
-22.98987,-48.61129
-70.1049,-9.672948
20.715982,90.147224
-62.673676,-0.5656169
-12.600015,-119.1779
0.43964997,48.817364
-5.526359,20.294973
32.777676,79.324554
20.040651,-85.11518
18.626896,-17.560493
10.448749,-104.91831
-15.943064,7.7320814
38.53836,22.531584
-36.792984,29.536457
14.684702,74.59675
-44.404617,-20.353903
10.158289,-111.80595
73.56975,-7.2762012
-38.37832,94.13202
-24.342028,48.589966
-10.798281,24.931616
28.618927,8.406825
55.368553,-86.68908
57.43525,20.016043
113.2682,12.223589
18.884205,-50.900494
-26.88024,9.854405
-60.194813,-70.23177
-4.0907187,-73.10166
-41.589706,8.933898
-75.8228,-14.738397
37.29062,73.861626
-28.101244,-21.016539
-48.13102,-82.65265
80.303925,53.480858
-107.36083,-37.110847
96.53942,-53.757534
-1.673964,68.25365
6.1775236,17.52098
-34.62754,-13.88952
-24.921282,79.72396
-23.849527,-20.687351
-34.571667,-13.396321
40.32053,-104.26681
-35.035366,-74.39992
-9.992715,-40.92809
5.603416,-19.400282
-4.91811,-10.465502
54.4868,-38.739998
112.65682,18.878012
-78.41683,48.826195
70.85898,83.67503
-22.436163,-13.381442
-51.977264,-87.88294
-86.33018,49.672344
1.0030705,66.37819
-59.070915,-48.601826
30.052227,-34.388546
0.54384017,-19.939787
68.42193,-20.242668
-27.27414,19.658855
88.928024,3.9836423
-52.725586,-52.267757
-12.156391,22.101316
-8.037666,-111.56905
-15.161354,-73.32713
9.932211,21.533314
10.748843,77.0968
30.960388,107.71474
-86.923645,32.437874
-59.036144,-49.695724
-55.580116,72.76369
-47.658424,68.31515
29.60515,-110.5723
-22.852198,-79.372826
-8.239626,-8.288933
-55.8479,93.32706
-19.047344,-43.45609
10.844242,-44.361546
-34.329098,-0.91832757
49.935997,-41.587658
50.56101,41.347195
-22.550875,-15.716788
39.647278,7.3151884
34.88564,-17.90957
68.39352,82.26246
32.604195,79.143524
48.081745,58.526375
6.210103,66.43086
52.893177,-39.148483
19.035952,50.507195
47.615227,-82.02625
-92.167175,48.317955
-47.70945,34.540447
-47.660168,-23.367552
44.16836,-72.48069
102.4962,-24.202887
53.68565,-87.1882
-62.91025,37.830235
-55.00521,-12.213921
7.5437,-110.84863
6.6264386,12.709953
-60.146225,-54.03973
-106.18249,-29.198322
54.235023,-91.781334
-47.639755,24.180109
7.368874,-115.9254
-62.266758,-10.866986
-3.5929937,-9.937769
117.92534,-14.313559
11.913295,21.288668
-44.960358,-79.63213
45.677917,-27.970734
-24.101355,108.159325
-13.964866,-99.77028
-62.835747,-56.654865
-49.565422,21.459349
55.97321,87.50748
-31.446194,28.67601
72.85785,-7.9857993
-24.058096,-20.67897
-57.58541,65.54352
8.90739,-109.961044
54.5119,-26.554377
-82.15273,-14.183836
-50.999363,92.66877
22.715158,-20.07881
6.3548965,49.0076
84.36685,53.84687
-102.48394,10.151697
3.8079157,-64.245125
13.109771,25.366488
71.546875,-9.269248
-26.798897,16.934715
111.73273,-26.13933
4.3569374,11.116484
-28.140446,-21.015938
-93.26257,-33.39998
-65.70907,-54.201492
1.4080224,0.3066631
-64.629875,32.587418
30.31905,-110.807526
58.363174,-13.636251
24.57292,78.27674
33.307083,-58.77493
1.7651303,49.15226
84.35278,-69.268
-31.703833,-10.906175
10.064451,20.833591
-10.398457,53.05245
13.290791,79.422935
87.180275,33.307705
32.249725,-113.545975
-107.761345,32.970207
74.0775,-19.451258
-44.322285,34.23853
-20.968193,9.047658
8.707715,-54.82556
-102.61614,-35.942245
61.03366,-27.594263
38.99748,-6.9728804
24.363762,-55.808273
9.371709,36.167484
27.63561,67.57455
9.529976,23.662424
0.13657477,-109.12722
72.915504,-7.964434
4.598613,30.07576
2.3404691,-72.66409
-6.836614,80.09238
63.527287,-37.880054
38.258812,-47.116783
-8.323323,-100.749916
14.886038,14.845623
-13.709779,-3.4029427
23.33853,-83.20598
