umap1,umap2
11.732143,6.0578833
12.006962,6.1571193
12.263816,6.688594
11.715964,6.0173836
11.712372,6.1077924
11.948711,6.349599
11.735332,5.996731
12.189172,6.2349267
11.696676,6.060366
12.264846,6.6827574
11.961397,6.186622
12.11103,6.243205
11.990349,6.217159
11.974982,6.4532166
11.9717045,6.2563457
11.996347,6.436733
11.947453,6.236336
12.0973215,6.415296
12.256024,6.675277
11.781964,6.115737
11.744232,6.123792
11.678246,5.9757085
11.78656,6.118006
11.733231,6.044148
11.916658,6.229057
11.749789,6.0006075
12.000324,6.4307528
12.129333,6.210404
12.103496,6.4093986
11.778929,6.1070676
12.029151,6.3851194
12.121703,6.342249
11.783548,6.0992327
11.736994,5.976999
11.939302,6.281049
12.033386,6.430676
12.005889,6.4511127
11.780598,6.030309
12.246937,6.6479673
11.764714,6.0901103
11.839945,6.0567584
11.7354145,6.087974
11.986177,6.2307267
11.864662,5.9708223
12.052744,6.3874297
11.743935,6.114072
11.931419,6.2234755
11.883436,5.959086
11.794285,6.014812
11.966426,6.2453446
11.776672,6.1067324
11.947824,6.2367544
11.779779,6.1088676
12.0232935,6.436635
12.113937,6.41989
11.835316,6.010938
12.275169,6.6767554
12.0593195,6.3832088
11.979505,6.276571
11.790306,6.079678
12.07954,6.27433
11.983202,6.390984
11.812591,5.9497867
11.875527,6.0487437
11.998215,6.2405214
12.228425,6.754349
12.07386,6.280053
12.027604,6.424981
11.859477,6.057742
11.755047,6.069822
12.089421,6.477018
12.315425,6.661624
11.8063345,6.1075816
11.717212,5.9767857
12.2170925,6.606941
12.074487,6.390408
12.176341,6.65162
11.756659,6.0212693
11.821169,6.1121526
12.2737255,6.7363853
11.765558,6.1124463
12.040589,6.4586
11.790717,6.098835
11.930983,6.4911723
12.063561,6.3227496
12.109958,6.4041376
11.81556,6.1105294
12.186046,6.3942394
12.03166,6.402355
12.0331,6.4703846
11.838094,6.1228356
11.830625,6.148717
12.104962,6.321548
11.826815,6.135815
12.04683,6.3360705
12.062865,6.323281
12.141626,6.2732334
12.231722,6.570819
11.836686,6.112751
11.875449,6.02104
12.0422735,6.4252977
11.897851,6.1874876
12.198799,6.634303
12.234543,6.5694075
12.340147,6.6776705
12.015588,6.155973
12.069997,6.4826345
12.091758,6.348666
12.060014,6.3497133
12.080005,6.387037
12.070031,6.3468904
11.932906,6.166235
11.8280735,6.1328764
12.093513,6.239943
11.832813,6.126703
12.241835,6.549679
12.240118,6.358483
14.518824,9.806593
11.96265,6.2907968
12.074934,6.411601
11.9980955,6.5102158
12.005426,6.340254
12.357584,6.6475177
12.167984,6.567973
12.0551405,6.300526
12.118146,6.441417
12.132481,6.449483
12.038616,6.332119
11.211513,9.112981
12.063789,6.326522
12.208439,6.516673
12.115168,6.3917046
11.942773,6.4879017
12.07336,6.34526
12.191471,6.3202076
11.832638,6.673858
12.069509,6.3680305
12.125614,6.38816
11.794463,6.569535
12.135593,6.41532
12.0212345,6.0575986
12.065463,6.443916
12.068262,6.361313
12.292389,6.518116
11.941281,6.2596107
12.097225,6.4251876
12.091721,6.315923
12.072504,6.361458
12.1170225,6.413244
11.972332,6.2051864
12.112302,6.4237175
12.18881,6.494756
12.077444,6.3178906
12.177355,6.3277307
12.115143,6.399412
12.186281,6.480114
11.988024,6.2860355
12.069617,6.3581276
12.132777,6.413528
11.995565,6.0035458
12.010832,6.17895
12.096462,6.378842
